"RMNum","longitude","latitude"
89,-106.8503958,33.94376427
88,-106.8502548,33.93069674
87,-106.8514282,33.91735035
86,-106.8494318,33.9010137
85,-106.8454527,33.88456778
84,-106.8479006,33.86841368
83,-106.8445532,33.85197445
82,-106.8494774,33.83701292
81,-106.8492976,33.82043192
80,-106.8563794,33.80710131
79,-106.8676406,33.79309439
78,-106.8721569,33.77975105
77,-106.8759704,33.76707961
76,-106.886507,33.75245359
75,-106.9010396,33.74038598
74,-106.9109077,33.72552389
73,-106.9236673,33.71328988
72,-106.9354597,33.69951715
71,-106.9472795,33.68594275
70,-106.9662492,33.68194764
69,-106.9857769,33.68387119
68,-107.0004775,33.67421018
67,-106.9988942,33.65969384
66,-106.989853,33.64721482
65,-106.9946875,33.63327231
64,-107.0056339,33.62223865
63,-107.0172142,33.61070556
62,-107.0290599,33.60156178
61,-107.0429299,33.59371025
60,-107.0563672,33.58775907
59,-107.066099,33.57569938
58,-107.0726703,33.56160803
57,-107.0781103,33.54710466
56,-107.0869885,33.53400171
55,-107.102604,33.52601944
54,-107.1124884,33.51300224
53,-107.1216603,33.49952578
52,-107.1229153,33.48489081
51,-107.1355516,33.47497904
50,-107.1520219,33.46850873
49,-107.1532692,33.45466092
48,-107.1535449,33.43966447
47,-107.1662803,33.42925912
46,-107.1689768,33.41445684
45,-107.1626907,33.40005583
44,-107.1627423,33.38513994
43,-107.1696211,33.37151087
42,-107.1735555,33.36036744
41,-107.1787655,33.34694591
40,-107.1815491,33.33265478
39,-107.169008,33.32542659
38,-107.1674609,33.3119907
37,-107.1601266,33.29772477
36,-107.1603994,33.28222271
35,-107.1649548,33.26716421
34,-107.1650897,33.25157082
33,-107.1625993,33.23612394
32,-107.1648918,33.22112947
31,-107.1809994,33.21355896
30,-107.1838558,33.1996313
29,-107.1876807,33.18447244
28,-107.1816432,33.17043018
27,-107.1864511,33.1583761
286,-105.9749855,36.19525752
285,-105.979257,36.18231092
284,-105.9735007,36.17094001
283,-105.9786838,36.15770418
282,-105.9945152,36.15363892
281,-106.0044312,36.14266765
280,-106.0186872,36.1347313
279,-106.0328193,36.12699858
278,-106.0459873,36.11873647
277,-106.0577273,36.10904311
276,-106.0631995,36.09542235
275,-106.0698796,36.08272201
274,-106.0736106,36.06978459
273,-106.0819497,36.05772867
272,-106.0837202,36.04438028
271,-106.0831788,36.03318532
270,-106.0754713,36.02206813
269,-106.0724369,36.00806697
268,-106.072901,35.99368308
267,-106.0785027,35.9803968
266,-106.0783838,35.96658416
265,-106.0785681,35.95297302
264,-106.0931701,35.94685746
263,-106.1020626,35.93712585
262,-106.1123437,35.92698735
261,-106.1169612,35.91468076
260,-106.1245569,35.90256421
259,-106.1339362,35.89244084
258,-106.1393641,35.88028199
257,-106.149989,35.87122303
256,-106.1558174,35.85886927
255,-106.1579112,35.84629833
254,-106.1641939,35.8357057
253,-106.1739836,35.82530659
252,-106.1800732,35.81315591
251,-106.1907476,35.80543269
250,-106.196521,35.79368343
249,-106.2033638,35.78301426
248,-106.2155039,35.7749092
247,-106.2272529,35.76668724
246,-106.2422935,35.76142291
245,-106.2533944,35.75244046
244,-106.2609698,35.74074238
243,-106.2650862,35.72728421
242,-106.2784366,35.7186911
241,-106.2923435,35.71171039
240,-106.2913241,35.69845131
239,-106.3038113,35.68874125
238,-106.3164544,35.68097893
237,-106.305067,35.67295589
236,-106.3033979,35.66214338
235,-106.3111562,35.64978637
234,-106.3171684,35.63707704
233,-106.3178735,35.62284702
26,-107.2020096,33.15305605
25,-107.2132061,33.14578814
24,-107.2239374,33.14253861
23,-107.2310083,33.12958048
22,-107.248092,33.12862127
21,-107.256072,33.11710688
20,-107.2727362,33.11344347
19,-107.2901124,33.11409956
18,-107.2947647,33.10441153
17,-107.2804201,33.10174308
16,-107.2834837,33.08937469
15,-107.2929366,33.07949576
14,-107.2787962,33.07410616
13,-107.276513,33.06207193
12,-107.2767383,33.0495783
11,-107.2778117,33.03814446
10,-107.2713643,33.02824006
9,-107.2688829,33.01984908
8,-107.275641,33.006644
7,-107.2809683,32.99469599
6,-107.2846777,32.98136081
5,-107.2932264,32.96913202
4,-107.2953886,32.95472175
3,-107.2952373,32.94002019
2,-107.2977956,32.92532458
1,-107.2977344,32.9105271
