"","gauge_RM","gauge","RM","deviance","distance"
"154","08319000_155","08319000","155",449.299925474058,84935.2931711219
"155","08319000_156","08319000","156",436.230622885294,83608.7173410174
"156","08319000_157","08319000","157",448.611078879949,82261.3807605567
"157","08319000_158","08319000","158",500.663659605197,80755.8217804778
"158","08319000_159","08319000","159",496.483181902249,79261.3614002232
"159","08319000_160","08319000","160",464.348051833238,77713.9604768968
"160","08319000_161","08319000","161",452.062072881829,76227.154014014
"161","08319000_162","08319000","162",469.760994301489,74685.6402502332
"162","08319000_163","08319000","163",420.877073988786,73281.4851778123
"163","08319000_164","08319000","164",349.822675049246,71763.4011653398
"164","08319000_165","08319000","165",200.913069205559,70403.1929601475
"165","08319000_57","08319000","57",54.7905664188527,219191.68455734
"166","08319000_60","08319000","60",81.0679746871878,214295.310690956
"167","08319000_61","08319000","61",57.6099771191715,213333.033899384
"168","08319000_62","08319000","62",53.2413443243987,212160.8284248
"169","08319000_63","08319000","63",143.402138132931,210900.605364679
"170","08319000_64","08319000","64",143.402138132931,209391.582984594
"171","08319000_65","08319000","65",127.54471239297,207953.189356707
"172","08319000_66","08319000","66",123.965966029903,206338.828459081
"173","08319000_67","08319000","67",123.965966029903,205196.610259263
"174","08319000_68","08319000","68",115.877407977176,203667.744825537
"175","08319000_69","08319000","69",103.992398096643,202288.981472775
"176","08319000_70","08319000","70",100.116182672236,202061.696274437
"177","08319000_71","08319000","71",100.116182672236,201220.565570036
"178","08319000_73","08319000","73",454.52720379632,197761.820491061
"179","08319000_74","08319000","74",383.82587495301,196173.508127525
"180","08319000_75","08319000","75",384.815325276016,194360.508898476
"181","08319000_76","08319000","76",474.925895420443,192761.757539176
"182","08319000_77","08319000","77",483.212839572462,190965.956694681
"183","08319000_78","08319000","78",473.153199173629,189512.883108782
"184","08319000_79","08319000","79",481.029490545821,187973.221273488
"185","08319000_80","08319000","80",478.034599885567,186233.789850995
"186","08319000_81","08319000","81",478.403486361115,184648.113731897
"187","08319000_82","08319000","82",459.607154374513,182843.800574174
"188","08319000_83","08319000","83",473.161048013571,181120.554324928
"189","08319000_84","08319000","84",402.278645862943,179392.495427946
"190","08319000_85","08319000","85",367.797334040078,177586.306469668
"191","08319000_86","08319000","86",351.489325661702,175872.981382583
"192","08319000_87","08319000","87",346.307031877403,174135.29933704
"193","08319000_88","08319000","88",329.561842733584,172661.024960025
"194","08319000_89","08319000","89",324.914539674087,171243.682526567
"195","08319000_90","08319000","90",313.758533886652,169947.24434501
"196","08319000_91","08319000","91",326.074897529967,168932.961452935
"197","08319000_92","08319000","92",317.698362026399,167582.048164499
"198","08319000_93","08319000","93",296.557926483037,166295.744596692
"199","08319000_94","08319000","94",267.152126273806,165309.613851885
"200","08319000_95","08319000","95",277.152960895737,163905.211780904
"201","08319000_96","08319000","96",297.830079800066,162600.321126124
"202","08319000_97","08319000","97",299.487944486515,161311.341162704
"203","08319000_98","08319000","98",326.940771938667,160105.82509338
"204","08319000_99","08319000","99",303.052504259668,159068.369149984
"205","08329918_100","08329918","100",276.487429363929,126881.590678083
"206","08329918_101","08329918","101",198.710990728569,125614.112216641
"207","08329918_102","08329918","102",191.320017173237,124637.845194087
"208","08329918_103","08329918","103",184.550233957025,123400.096835052
"209","08329918_104","08329918","104",178.026330853049,122107.062710784
"210","08329918_105","08329918","105",143.404860318919,120671.517596302
"211","08329918_132","08329918","132",170.295348286247,85938.3762768055
"212","08329918_133","08329918","133",436.895569722306,84433.6218255454
"213","08329918_134","08329918","134",428.303042347416,82988.0648529012
"214","08329918_135","08329918","135",414.997064431016,81572.101630627
"215","08329918_136","08329918","136",380.331125950726,80020.8954005057
"216","08329918_137","08329918","137",306.05883532641,78473.4420049755
