"gauge_RM","gauge","RM","MFR2","distance"
"08329918_94","08329918","94",0.0348399616155737,134689.123908651
"08329918_95","08329918","95",0.0443620984033707,133305.428826592
"08329918_96","08329918","96",0.0392620097359561,131990.208974037
"08329918_97","08329918","97",0.053931548657279,130670.263698748
"08329918_98","08329918","98",0.0499558867960055,129419.174425743
"08329918_99","08329918","99",0.0270325253499029,128303.240720052
"08329928_100","08329928","100",0.0116227508376266,125018.748386376
"08329928_101","08329928","101",0.016650633052936,123750.977513067
"08329928_102","08329928","102",0.0854841865967346,122770.740843466
"08329928_103","08329928","103",0.0997323719050149,121530.072811413
"08329928_104","08329928","104",0.119824681266838,120234.242765523
"08329928_105","08329928","105",0.218414277437831,118798.961703021
"08329928_133","08329928","133",0.0549506504950504,82566.9012830326
"08329928_134","08329928","134",0.054011421769168,81121.0369397967
"08329928_135","08329928","135",0.163781124499487,79701.6170391223
"08329928_136","08329928","136",0.133374721647827,78152.2645701037
"08329928_137","08329928","137",0.14589874918183,76606.3615142327
"08329928_138","08329928","138",0.177969952955484,75102.3340574725
"08329928_151","08329928","151",0.0804316799770912,57490.3697751698
"08329928_152","08329928","152",0.0701465505580136,55990.6514673868
"08329928_153","08329928","153",0.0576813319464554,54613.9838881629
"08329928_154","08329928","154",0.0607366639131769,53184.304877909
"08329928_156","08329928","156",0.00406163181160479,50393.8468116567
"08329928_159","08329928","159",0.0291845412324314,46009.5953986929
"08329928_161","08329928","161",0.175641256568714,43030.6471074458
"08329928_162","08329928","162",0.102689831602099,41577.8792904165
"08329928_163","08329928","163",0.0852177966766022,40045.8214266493
"08329928_164","08329928","164",0.0740653760262183,38451.8864452459
"08329928_165","08329928","165",0.154656069878907,36939.3530812901
"08329928_63","08329928","63",0.000819790104162665,178104.077801823
"08329928_64","08329928","64",0.000819790104162221,176644.266916621
"08329928_65","08329928","65",0.000278144519113455,175253.368650086
"08329928_66","08329928","66",2.03482602245675e-06,173646.409953481
"08329928_67","08329928","67",2.03482602345595e-06,172430.827148361
"08329928_68","08329928","68",6.56399240815952e-05,170869.612754799
"08329928_69","08329928","69",1.60051617237311e-05,169563.822015296
"08329928_70","08329928","70",0.000401834464449635,169460.009200929
"08329928_71","08329928","71",0.000401834464450523,168733.076598488
"08329928_74","08329928","74",0.00892691805338497,163867.230541139
"08329928_75","08329928","75",0.00905656481052808,162099.951496069
"08329928_76","08329928","76",0.00740627733015198,160585.688969418
"08329928_77","08329928","77",0.0074718884265299,158844.097054831
"08329928_78","08329928","78",0.00849817674832376,157399.984515643
"08329928_79","08329928","79",0.00786068457175915,155873.660230909
"08329928_80","08329928","80",0.00860402235655433,154197.884849603
"08329928_81","08329928","81",0.00982422856725451,152646.459489586
"08329928_82","08329928","82",0.0127821738540231,150815.624936734
"08329928_83","08329928","83",0.013435884285012,149107.935656911
